Scan Num,Measured Voltage (V),Reference Voltage (V),Corrected Voltage (V),Current (mA),Current Error (%),Theoretical Current (mA)
4,-2.708466,-1.123047,-5.479702,-0.4913631,2.8726,-2.145222
4,-2.319834,-0.7603236,-5.116979,-0.4580817,3.678377,-2.135427
4,-1.915258,-0.3766741,-4.733329,-0.4321471,4.036443,-2.125587
4,-1.48577,-3.49E-03,-4.360143,-0.4126774,3.097537,-2.115701
4,-1.099131,0.3756776,-3.980978,-0.3867429,3.179156,-2.105769
4,-0.7060148,0.7344149,-3.62224,-0.364335,4.887382,-2.095789
4,-0.2840003,1.100127,-3.256528,-0.3325226,4.488949,-2.085761
4,0.1763791,1.535096,-2.821559,-0.3018119,5.45414,-2.075685
4,0.578962,1.901805,-2.45485,-0.2744081,7.685658,-2.065558
4,0.9865273,2.281469,-2.075186,-0.2429633,5.436893,-2.055382
4,1.404058,2.621771,-1.734884,-0.1962367,8.238904,-2.045155
4,1.794184,3.014887,-1.341768,-0.1622936,8.082825,-2.034876
4,2.20723,3.368144,-0.9885113,-0.1273224,11.05335,-2.024545
4,2.600347,3.709443,-0.6472125,-8.60E-02,13.87389,-2.014159
4,3.024354,4.083127,-0.2735281,-4.26E-02,36.21299,-2.00372
4,3.410495,4.439872,8.32E-02,5.22E-03,127.6995,-1.993226
4,3.817562,4.802096,0.4454412,6.22E-02,16.02489,-1.982675
4,4.210678,5.151865,0.7952104,0.1127019,10.60473,-1.972067
4,4.642657,5.488679,1.132024,0.1697148,7.169222,-1.961401
4,5.034279,5.848911,1.492256,0.2313552,3.287593,-1.950675
4,5.445332,6.191206,1.834551,0.2961552,1.720817,-1.93989
4,5.865852,6.533003,2.176348,0.3657305,2.353769,-1.929043
4,6.259467,6.869319,2.512664,0.4445628,1.598904,-1.918133
4,6.658562,7.186702,2.830047,0.5238367,1.35429,-1.90716
4,7.056661,7.524015,3.16736,0.6017881,0.8748803,-1.896122
4,7.474689,7.85485,3.498195,0.6936976,1.647695,-1.885018
4,7.880759,8.14782,3.791164,0.775102,1.371396,-1.873846
4,8.276864,8.459223,4.102568,0.8615752,1.242133,-1.862605
4,8.70436,8.776605,4.41995,0.9573061,1.739488,-1.851294
4,9.096978,9.070072,4.713417,1.052155,1.580519,-1.839911
4,9.504045,9.342613,4.985958,1.143257,1.802928,-1.828454
